


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        4.2.1     Platform:  V1.1.5 (b18)     Uptime:    0.000 s
Compiled:   Apr 12 2026 19:43:23     Directory:                        


Data Start;
Pos; -40.91,54.91,284.22
Pos; -40.91,54.92,284.27
Pos; -40.90,54.92,284.39
Pos; -40.90,54.89,284.51
Pos; -40.90,54.90,284.61
Pos; -40.90,54.91,284.72
Pos; -40.90,54.92,284.90
Pos; -40.90,54.90,285.21
Pos; -40.91,54.84,285.49
Pos; -40.92,54.86,285.76
Pos; -40.93,54.87,285.96
Pos; -40.94,54.74,286.22
Pos; -40.94,54.83,286.46
Pos; -40.94,54.73,286.72
Pos; -40.95,54.71,286.96
Pos; -40.95,54.69,287.15
Pos; -40.94,54.67,287.36
Pos; -40.92,54.57,287.58
Pos; -40.92,54.59,287.87
Pos; -40.91,54.58,288.19
Pos; -40.92,54.53,288.51
Pos; -40.93,54.49,288.86
Pos; -40.95,54.44,289.25
Pos; -40.97,54.37,289.68
Pos; -40.98,54.40,290.04
Pos; -41.01,54.32,290.40
Pos; -41.03,54.31,290.69
Pos; -41.05,54.27,291.00
Pos; -41.06,54.22,291.26
Pos; -41.06,54.22,291.59
Pos; -41.06,54.25,291.89
Pos; -41.05,54.25,292.27
Pos; -41.04,54.17,292.57
Pos; -41.01,54.17,292.91
Pos; -40.98,54.04,293.34
Pos; -40.94,53.98,293.78
Pos; -40.92,53.95,294.16
Pos; -40.89,53.81,294.52
Pos; -40.87,53.81,294.77
Pos; -40.86,53.69,294.98
Pos; -40.86,53.71,295.12
Pos; -40.86,53.62,295.28
Pos; -40.88,53.68,295.48
Pos; -40.89,53.71,295.71
Pos; -40.91,53.63,295.91
Pos; -40.93,53.63,296.17
Pos; -40.94,53.62,296.39
Pos; -40.96,53.65,296.61
Pos; -40.98,53.61,296.85
Pos; -40.99,53.60,297.01
Pos; -41.00,53.56,297.24
Pos; -41.02,53.52,297.42
Pos; -41.03,53.54,297.61
Pos; -41.05,53.46,297.74
Pos; -41.06,53.44,297.90
Pos; -41.07,53.46,298.01
Pos; -41.07,53.45,298.17
Pos; -41.09,53.36,298.30
Pos; -41.09,53.38,298.39
Pos; -41.09,53.33,298.53
Pos; -41.10,53.39,298.71
Pos; -41.11,53.34,298.84
Pos; -41.11,53.37,299.02
Pos; -41.12,53.37,299.27
Pos; -41.12,53.23,299.44
Pos; -41.11,53.25,299.59
Pos; -41.10,53.21,299.76
Pos; -41.09,53.19,299.87
Pos; -41.09,53.17,299.98
Pos; -41.10,53.17,300.16
Pos; -41.11,53.15,300.29
Pos; -41.11,53.14,300.40
Pos; -41.12,53.21,300.61
Pos; -41.12,53.10,300.78
Pos; -41.12,53.12,300.92
Pos; -41.11,53.04,301.06
Pos; -41.10,52.97,301.22
Pos; -41.09,52.99,301.32
Pos; -41.09,52.97,301.42
Pos; -41.08,52.96,301.55
Pos; -41.08,52.95,301.67
Pos; -41.08,52.91,301.83
Pos; -41.09,52.88,302.07
Pos; -41.11,52.91,302.24
Pos; -41.11,52.88,302.45
Pos; -41.12,52.87,302.57
Pos; -41.13,52.88,302.77
Pos; -41.14,52.86,302.87
Pos; -41.15,52.86,303.04
Pos; -41.16,52.79,303.20
Pos; -41.17,52.82,303.34
Pos; -41.19,52.83,303.56
Pos; -41.19,52.75,303.70
Pos; -41.21,52.79,303.91
Pos; -41.21,52.72,304.01
Pos; -41.23,52.75,304.21
Pos; -41.24,52.75,304.35
Pos; -41.25,52.71,304.50
Pos; -41.26,52.74,304.66
Pos; -41.27,52.70,304.78
Pos; -41.28,52.68,304.99
Pos; -41.30,52.68,305.17
Pos; -41.31,52.64,305.43
Pos; -41.33,52.65,305.65
Pos; -41.34,52.62,305.93
Pos; -41.36,52.64,306.20
Pos; -41.38,52.63,306.44
Pos; -41.39,52.60,306.61
Pos; -41.40,52.61,306.78
Pos; -41.41,52.54,306.89
Pos; -41.41,52.59,306.98
Pos; -41.42,52.56,307.13
Pos; -41.42,52.52,307.23
Pos; -41.43,52.42,307.34
Pos; -41.43,52.45,307.50
Pos; -41.43,52.50,307.69
Pos; -41.42,52.43,307.82
Pos; -41.43,52.37,307.95
Pos; -41.43,52.37,308.10
Pos; -41.44,52.41,308.25
Pos; -41.45,52.29,308.41
Pos; -41.46,52.26,308.53
Pos; -41.47,52.34,308.75
Pos; -41.48,52.36,308.99
Pos; -41.49,52.36,309.34
Pos; -41.51,52.30,309.73
Pos; -41.52,52.38,310.17
Pos; -41.54,52.15,310.57
Pos; -41.56,52.15,310.91
Pos; -41.58,52.13,311.08
Pos; -41.58,52.09,311.15
Pos; -41.58,52.08,311.12
Pos; -41.58,52.08,311.11
Pos; -41.58,52.04,311.09
Pos; -41.58,52.09,311.05
Pos; -41.58,52.08,310.99
Pos; -41.58,52.06,310.94
Pos; -41.58,52.05,310.90
Pos; -41.58,52.07,310.84
Pos; -41.58,52.09,310.80
Pos; -41.58,52.05,310.77
Pos; -41.58,52.04,310.73
Pos; -41.58,52.12,310.69
Pos; -41.58,52.08,310.64
Pos; -41.58,52.12,310.60
Pos; -41.58,52.09,310.57
Pos; -41.58,52.08,310.53
Pos; -41.58,52.07,310.49
Pos; -41.58,52.18,310.46
Pos; -41.58,52.15,310.46
Pos; -41.58,52.15,310.47
Pos; -41.58,52.09,310.46
Pos; -41.58,52.12,310.45
Pos; -41.58,52.12,310.45
Pos; -41.58,52.09,310.44
Pos; -41.58,52.09,310.45
Pos; -41.58,52.12,310.44
Pos; -41.58,52.18,310.44
Pos; -41.58,52.08,310.41
Pos; -41.58,52.13,310.37
Pos; -41.58,52.18,310.35
Pos; -41.58,52.12,310.35
Pos; -41.58,52.09,310.35
Pos; -41.58,52.12,310.35
Pos; -41.58,52.12,310.35
Pos; -41.58,52.18,310.34
Pos; -41.58,52.12,310.34
Pos; -41.58,52.09,310.33
Pos; -41.58,52.11,310.32
Pos; -41.58,52.11,310.31
Pos; -41.58,52.17,310.30
Pos; -41.57,52.20,310.30
Pos; -41.57,52.14,310.30
Pos; -41.57,52.11,310.30
Pos; -41.57,52.13,310.28
Pos; -41.57,52.10,310.28
Pos; -41.57,52.10,310.28
Pos; -41.57,52.16,310.28
Pos; -41.57,52.13,310.28
Pos; -41.57,52.16,310.28
Pos; -41.57,52.13,310.27
Pos; -41.57,52.13,310.27
Pos; -41.57,52.16,310.27
Pos; -41.57,52.13,310.28
Pos; -41.57,52.16,310.27
Pos; -41.57,52.13,310.28
Pos; -41.57,52.13,310.27
Pos; -41.57,52.13,310.28
Pos; -41.57,52.07,310.27
Pos; -41.57,52.16,310.27
Pos; -41.57,52.13,310.27
Pos; -41.57,52.13,310.28
Pos; -41.57,52.16,310.27
Pos; -41.57,52.13,310.27
Pos; -41.57,52.13,310.26
Pos; -41.57,52.13,310.26
Pos; -41.58,52.13,310.26
Pos; -41.58,52.16,310.26
Pos; -41.58,52.13,310.26
Pos; -41.58,52.10,310.26
Pos; -41.58,52.07,310.26
Pos; -41.58,52.16,310.25
Pos; -41.58,52.19,310.25
Pos; -41.58,52.16,310.25
Pos; -41.58,52.13,310.25
Pos; -41.58,52.19,310.25
Pos; -41.58,52.28,310.25
Pos; -41.58,52.27,310.24
Pos; -41.58,52.15,310.23
Pos; -41.59,52.15,310.22
Pos; -41.59,52.12,310.22
Pos; -41.59,52.18,310.21
Pos; -41.59,52.18,310.21
Pos; -41.59,52.15,310.22
Pos; -41.59,52.18,310.21
Pos; -41.59,52.24,310.22
Pos; -41.59,52.27,310.21
Pos; -41.59,52.27,310.21
Pos; -41.59,52.24,310.21
Pos; -41.59,52.18,310.21
Pos; -41.59,52.17,310.20
Pos; -41.59,52.17,310.18
Pos; -41.60,52.21,310.10
Pos; -41.60,52.24,309.97
Pos; -41.62,52.23,309.69
Pos; -41.64,52.28,309.17
Pos; -41.67,52.18,308.22
Pos; -41.69,52.06,306.87
Pos; -41.72,52.31,304.92
Pos; -41.77,52.32,302.82
Pos; -41.85,52.70,300.84
Pos; -41.92,52.81,299.19
Pos; -42.01,53.04,298.19
Pos; -42.04,53.09,297.85
Pos; -42.04,53.14,297.98
Pos; -42.03,53.13,298.13
Pos; -42.01,53.13,298.34
Pos; -42.00,53.10,298.37
Pos; -42.00,53.10,298.36
Pos; -42.01,53.10,298.36
Pos; -42.01,53.10,298.38
Pos; -42.01,53.07,298.41
Pos; -42.01,53.07,298.44
Pos; -42.02,53.11,298.44
Pos; -42.02,53.07,298.43
Pos; -42.02,53.14,298.42
Pos; -42.02,53.07,298.42
Pos; -42.02,53.00,298.43
Pos; -42.02,53.07,298.42
Pos; -42.02,53.14,298.42
Pos; -42.02,53.10,298.41
Pos; -42.02,53.10,298.38
Pos; -42.02,53.10,298.38
Pos; -42.02,53.10,298.37
Pos; -42.02,53.09,298.35
Pos; -42.02,53.13,298.33
Pos; -42.03,53.12,298.30
Pos; -42.03,53.08,298.26
Pos; -42.04,53.11,298.22
Pos; -42.04,53.07,298.18
Pos; -42.04,53.10,298.16
Pos; -42.04,53.13,298.15
Pos; -42.04,53.10,298.15
Pos; -42.04,53.10,298.15
Pos; -42.04,53.10,298.15
Pos; -42.04,53.10,298.15
Pos; -42.04,53.06,298.15
Pos; -42.04,53.13,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.10,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.10,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.06,298.15
Pos; -42.05,53.10,298.15
Pos; -42.05,53.10,298.15
Pos; -42.05,53.06,298.15
Pos; -42.05,53.10,298.15
Pos; -42.05,53.13,298.15
Pos; -42.05,53.10,298.15
Pos; -42.06,53.13,298.15
Pos; -42.07,53.10,298.15
Pos; -42.07,53.10,298.12
Pos; -42.08,53.08,298.04
Pos; -42.10,53.16,297.85
Pos; -42.13,53.15,297.56
Pos; -42.17,53.13,297.13
Pos; -42.20,53.19,296.56
Pos; -42.25,53.39,295.94
Pos; -42.29,53.40,295.25
Pos; -42.37,53.51,294.64
Pos; -42.42,53.66,293.82
Pos; -42.48,53.88,292.92
Pos; -42.51,54.04,292.04
Pos; -42.54,54.12,291.29
Pos; -42.57,54.24,290.73
Pos; -42.62,54.30,290.18
Pos; -42.66,54.47,289.59
Pos; -42.73,54.53,288.91
Pos; -42.78,54.58,288.15
Pos; -42.85,54.81,287.28
Pos; -42.91,54.86,286.33
Pos; -42.99,55.13,285.33
Pos; -43.05,55.23,284.33
Pos; -43.14,55.48,283.32
Pos; -43.20,55.58,282.27
Pos; -43.29,55.73,281.32
Pos; -43.34,55.93,280.37
Pos; -43.43,56.01,279.43
Pos; -43.48,56.30,278.57
Pos; -43.56,56.39,277.75
Pos; -43.61,56.57,276.98
Pos; -43.66,56.48,276.21
Pos; -43.68,56.51,275.47
Pos; -43.69,56.62,274.87
Pos; -43.70,56.69,274.30
Pos; -43.70,56.88,273.85
Pos; -43.69,57.00,273.32
Pos; -43.68,57.00,272.87
Pos; -43.68,57.07,272.44
Pos; -43.68,57.11,272.16
Pos; -43.68,57.07,272.06
Pos; -43.68,57.19,272.03
Pos; -43.68,57.15,271.99
Pos; -43.68,57.15,271.96
Pos; -43.68,57.15,271.91
Pos; -43.70,57.15,271.88
Pos; -43.70,57.19,271.86
Pos; -43.70,57.19,271.83
Pos; -43.70,57.15,271.81
Pos; -43.70,57.15,271.80
Pos; -43.70,57.15,271.84
Pos; -43.70,57.11,271.89
Pos; -43.70,57.15,271.95
Pos; -43.70,57.11,272.00
Pos; -43.69,57.19,272.01
Pos; -43.69,57.15,272.05
Pos; -43.69,57.15,272.02
Pos; -43.69,57.19,272.04
Pos; -43.69,57.11,272.03
Pos; -43.69,57.15,272.04
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.23,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.19,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.11,272.03
Pos; -43.69,57.15,272.03
Pos; -43.69,57.15,272.03
